1946-01-01,1.170
1946-02-01,1.170
1946-03-01,1.170
1946-04-01,1.270
1946-05-01,1.270
1946-06-01,1.270
1946-07-01,1.270
1946-08-01,1.520
1946-09-01,1.520
1946-10-01,1.520
1946-11-01,1.520
1946-12-01,1.620
1947-01-01,1.620
1947-02-01,1.620
1947-03-01,1.620
1947-04-01,1.870
1947-05-01,1.870
1947-06-01,1.870
1947-07-01,1.870
1947-08-01,1.870
1947-09-01,1.870
1947-10-01,1.870
1947-11-01,2.070
1947-12-01,2.070
1948-01-01,2.570
1948-02-01,2.570
1948-03-01,2.570
1948-04-01,2.570
1948-05-01,2.570
1948-06-01,2.570
1948-07-01,2.570
1948-08-01,2.570
1948-09-01,2.570
1948-10-01,2.570
1948-11-01,2.570
1948-12-01,2.570
1949-01-01,2.570
1949-02-01,2.570
1949-03-01,2.570
1949-04-01,2.570
1949-05-01,2.570
1949-06-01,2.570
1949-07-01,2.570
1949-08-01,2.570
1949-09-01,2.570
1949-10-01,2.570
1949-11-01,2.570
1949-12-01,2.570
1950-01-01,2.570
1950-02-01,2.570
1950-03-01,2.570
1950-04-01,2.570
1950-05-01,2.570
1950-06-01,2.570
1950-07-01,2.570
1950-08-01,2.570
1950-09-01,2.570
1950-10-01,2.570
1950-11-01,2.570
1950-12-01,2.570
1951-01-01,2.570
1951-02-01,2.570
1951-03-01,2.570
1951-04-01,2.570
1951-05-01,2.570
1951-06-01,2.570
1951-07-01,2.570
1951-08-01,2.570
1951-09-01,2.570
1951-10-01,2.570
1951-11-01,2.570
1951-12-01,2.570
1952-01-01,2.570
1952-02-01,2.570
1952-03-01,2.570
1952-04-01,2.570
1952-05-01,2.570
1952-06-01,2.570
1952-07-01,2.570
1952-08-01,2.570
1952-09-01,2.570
1952-10-01,2.570
1952-11-01,2.570
1952-12-01,2.570
1953-01-01,2.570
1953-02-01,2.570
1953-03-01,2.570
1953-04-01,2.570
1953-05-01,2.570
1953-06-01,2.820
1953-07-01,2.820
